INFO:root:BlockBackupComplete | Uploader: peer-4 | Downloader: peer-5 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-5 | Downloader: peer-6 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-7 | Downloader: peer-8 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-5 | Downloader: peer-6 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-8 | Downloader: peer-9 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-6 | Downloader: peer-7 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-6 | Downloader: peer-7 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-7 | Downloader: peer-8 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-7 | Downloader: peer-8 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-9 | Downloader: peer-10 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-10 | Downloader: peer-11 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-8 | Downloader: peer-9 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-8 | Downloader: peer-9 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-9 | Downloader: peer-10 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-9 | Downloader: peer-10 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-12 | Downloader: peer-13 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-10 | Downloader: peer-11 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-10 | Downloader: peer-11 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-11 | Downloader: peer-12 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-11 | Downloader: peer-12 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-11 | Downloader: peer-12 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-12 | Downloader: peer-13 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-13 | Downloader: peer-14 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-12 | Downloader: peer-13 | Block ID: 2 | Time: 201.33
INFO:root:BlockBackupComplete | Uploader: peer-14 | Downloader: peer-15 | Block ID: 2 | Time: 201.33
